п/н";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"137219";"ООО ""Истра""";"Павловский Посад, ул. Тихонова, д. 48";"ВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.77781599999999";"38.658347";"новый";"https://durnovcev2000.kaiten.ru/40162946"
"151680";"ООО «ВКУСНО»/пекарня ""Буханка""";"Москва г, ул Красноказарменная, д. 15";"ВАО";"Гранит";"Ткаченко В.Н.";"КВ";"55.8109812";"37.4977308";"новый";"#40677931"
"1025 ТБ";"ООО «АСТРЕЯ-НЕДВИЖИМОСТЬ»";"Москва  ул 16-я Парковая, д. 20Бс2";"ВАО";"Технологии Безопасности";"Гусев П.И.";"КВ";"55.8011928";"37.8292095";"новый";"https://durnovcev2000.kaiten.ru/42405893"
"1469";"ООО ""Группа ""ТОРРО""";"Москва, Измайловский бульвар, д. 38";"ВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.79649860000001";"37.8017466";"новый";"https://durnovcev2000.kaiten.ru/40020894"
"138706";"ООО ""ВКУСТОРГ""/Гастроном";"Москва, Измайловский пр-д, дом 5, корп. 2";"ВАО";"Эсток-Сервис";"Христенко Е.А.";"КВ";"55.796304";"37.768229";"новый";"https://durnovcev2000.kaiten.ru/45971488"
"139085";"ООО ""Грин Макс""";"Москва ул Красноказарменная, д. 23";"ВАО";"Эсток-Сервис";"Михно С.С.";"КВ";"55.7534236";"37.7125254";"новый";"https://durnovcev2000.kaiten.ru/48022914"
"192214";"ООО ""ЧОП ""СТОРМ-БЕЗОПАСНОСТЬ""/(Пост охраны АО Московское протезно-ортопедическое предприятие)";"Реутов, ул. Ленина, д. 25";"ВАО";"ИП Гусев";"Гусев П.И.";"КВ";"55.7596524";"37.8549824";"новый";"https://durnovcev2000.kaiten.ru/48469180"
"192215";"ООО ""ЧОП ""СТОРМ-БЕЗОПАСНОСТЬ""/(Пост охраны АО Московское протезно-ортопедическое предприятие)";"Москва, ул. Электрозаводская, д. 46";"ВАО";"ИП Гусев";"Гусев П.И.";"КВ";"55.79184559999999";"37.7082916";"новый";"https://durnovcev2000.kaiten.ru/48490203"
"139246";"ИП Горенкова Наталья Александровна (Пункт выдачи заказов ОЗОН)";"Москва Сиреневый бульвар 28";"ВАО";"Эсток-Сервис";"Хорзов С.В.";"КВ";"55.8024827";"37.80029070000001";"новый";"https://durnovcev2000.kaiten.ru/49033316"
"№ ЭС/Т-1866/02-25";"ИП Погосян Шушик Вардановна, Пекарня МаМан";"Москва, Краснопрудная улица, д. 22-24";"ВАО";"Эсток-Сервис";"Сергеев С.В.";"КВ";"55.77878699999999";"37.6652918";"новый";"https://durnovcev2000.kaiten.ru/49636266"
"151698";"ООО Система";"Москва, ул. Амурская, 1А к5";"ВАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.814575";"37.7859448";"новый";"https://durnovcev2000.kaiten.ru/48857341"
"139070";"ООО ""Планета Здоровья Холдинг"" / Аптека Планета Здоровья";"Павловский Посад, ул. Привокзальная, д.19";"ВАО";"Эсток-Сервис";"Пряшников Д.Ю.";"КВ";"55.7770328";"38.6743573";"новый";"https://durnovcev2000.kaiten.ru/50233822"
"138845";"ООО ""Планета Здоровья Холдинг"" / Аптека Планета Здоровья";"Москва,Урицкого, д. 49Б";"ВАО";"Эсток-Сервис";"Пряшников Д.Ю.";"КВ";"55.704331";"37.8889975";"новый";"https://durnovcev2000.kaiten.ru/50585834"
