п/н";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"ТО-№ 885ТБ";"ООО Комфорт-Сервис"" / Гостиница Melton Hotel";"Москва г, ул Барышиха, д. 40, к. 1";"САО+СЗАО";"Технологии Безопасности";"Мозговой И.В.";"КВ";"55.85317269999999";"37.3434221";"новый";"https://durnovcev2000.kaiten.ru/32515117"
"№ 885ТБ";"ООО Комфорт-Сервис"" / Гостиница Melton Hotel)";"Москва ул Барышиха, д. 40, к. 1";"САО+СЗАО";"Технологии Безопасности";"Мозговой И.В.";"КВ";"55.85317269999999";"37.3434221";"Новый";"#32515117"
"138393";"ИП Херимян Сюзанна Артемовна / Торгово-коммерческое помещение";"Москва, ул. Дубосековская, дом 7";"САО+СЗАО";"Эсток-Сервис";"Христенко Е.А.";"КВ";"55.8109812";"37.4977308";"новый";"https://durnovcev2000.kaiten.ru/46524672"
"138102";"ИП Богомолов Сергей Викторович";"Москва,  Новопесчаная, д. 6, к. 2";"САО+СЗАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.8009444";"37.5161642";"новый";"https://durnovcev2000.kaiten.ru/48717267"
"139102";"ООО «Ярта-Инвест» / Контейнеры - Склад";"Ленинградское шоссе, дом 58, корп.45";"САО+СЗАО";"Эсток-Сервис";"Христенко Е.А.";"КВ";"55.8418571";"37.4840969";"новый";"https://durnovcev2000.kaiten.ru/50585381"
"№ ЭС/Т-1941/03-25";"ИП Тарасов Владимир Геннадьевич/(гостиница)";"Москва, ул. Туристская, 21";"САО+СЗАО";"Эсток-Сервис";"Чиграй А.С.";"КВ";"55.8531564";"37.420975";"новый";"https://durnovcev2000.kaiten.ru/50837380"
"№755";"ИП Иванович/Административное здание";"Москва г, Сходненская ул, дом № 6";"САО+СЗАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.8396806";"37.4384153";"-";"-"
"93088";"Аптека ""Планета Здоровья""";"г.Москва, Ленинградский пр-кт, д. 71кД";"САО+СЗАО";"Гранит";"Пряшников Д.Ю.";"М";"55.8030596";"37.5178309";"06.06.2025";"https://durnovcev2000.kaiten.ru/33682037"
"138874";"ООО «ГОРИЗОНТ-М», Магазин «Алкотека»";"Москва, проспект Ленинградский, д. 75, к. 1";"САО+СЗАО";"Секьюрикоп-техник Краснодар";"Озеров С.";"КВ";"55.8049554";"37.5123471";"06.06.2025";"https://durnovcev2000.kaiten.ru/45456252"
"ТО№ 471ТБ";"ИП Платонова Оксана Валерьевна (Салон красоты)";"Москва г, Чапаевский пер, дом 12, корпус 3";"САО+СЗАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.79939599999999";"37.51811";"06.06.2025";"https://durnovcev2000.kaiten.ru/33681320"
"137465";"ИП Букреев Даниил Владиславович";"Москва г, пр-кт Ленинградский, д. 75, к. 1";"САО+СЗАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.8049554";"37.5123471";"06.06.2025";"https://durnovcev2000.kaiten.ru/32955386"
"133305";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""УЧЕБНО-МЕТОДИЧЕСКИЙ ЦЕНТР ПО ГРАЖДАНСКОЙ ОБОРОНЕ И ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ ГОРОДА МОСКВЫ""";"Москва г, Зеленоград г, корпус 445";"САО+СЗАО";"Нева-2";"Шагров Д.Д.";"М";"55.9926046";"37.2104236";"06.06.2025";"https://durnovcev2000.kaiten.ru/33681956"
"93222";"ИП Данилов Андрей Николаевич (Пекарня «Хлебница»)";"г. Москва , ул. Верхняя Масловка д.21";"САО+СЗАО";"Гранит";"Рощин С.С.";"КВ";"55.7958843";"37.56059880000001";"05.06.2025";"https://durnovcev2000.kaiten.ru/33679971"
"136318";"ИП Лауга Сергей Владимирович / гастроном";"Москва г, ул Балтийская, д. 4";"САО+СЗАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.807488";"37.512828";"05.06.2025";"https://durnovcev2000.kaiten.ru/37118593"
"138066";"ИП Софийская Наталия Владимировна";"Москва, ш Головинское, д. 10Б";"САО+СЗАО";"Технологии Безопасности";"Чиграй А.С.";"М";"55.8362847";"37.4964766";"05.06.2025";"https://durnovcev2000.kaiten.ru/33681659"
"136776";"ООО «Фёрст Скул», частная школа ""Lartums school""";"Москва г, Головинское ш, дом № 10Б";"САО+СЗАО";"Технологии Безопасности";"Чиграй А.С.";"М";"55.8393252";"37.492858";"05.06.2025";"https://durnovcev2000.kaiten.ru/33681653"
"83950/134145";"ООО ""Авоська-два"" А-Пульт";"Рублевское шоссе, д. 20, корп. 2";"САО+СЗАО";"Аллигатор";"Певзнер Ю.А.";"КВ";"55.742727";"37.430512";"04.06.2025";"https://durnovcev2000.kaiten.ru/33680856"
"138137";"ООО «ГРАДУС ГРУПП""/Кладовка ""СКЛАДНО"",";"Москва, ул Истринская, д. 8, к. 3";"САО+СЗАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.73578939999999";"37.4327992";"04.06.2025";"https://durnovcev2000.kaiten.ru/41181347"
"133854";"ООО «РЕСУРС» (Гастроном на Кутузовском)";"Москва г, Кутузовский пр-кт, дом 45";"САО+СЗАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.73702789999999";"37.5241968";"04.06.2025";"https://durnovcev2000.kaiten.ru/33680070"
"ТО-2236";"ООО ""ОСТЕОДОНТИКС ГРУПП"", Стоматологическая клиника";"г.Москва, ул.1812 года, д.9";"САО+СЗАО";"Технологии Безопасности";"Супонников М.С.";"КВ";"55.73894170000001";"37.5210339";"04.06.2025";"https://durnovcev2000.kaiten.ru/33681407"
"138536";"ООО «Т-СЕГМЕНТ»";". Москва, ул. Руставели, дом 16, корп.1";"САО+СЗАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.8122132";"37.5988318";"04.06.2025";"https://durnovcev2000.kaiten.ru/43065256"
"39135";"ООО Магазин Авоська два";"Москва, Рублевское щоссе 99 корп 1";"САО+СЗАО";"Аллигатор";"Певзнер Ю.А.";"КВ";"55.7512949";"37.4083592";"04.06.2025";"https://durnovcev2000.kaiten.ru/33680867"
"90249";"Аптека ""Планета здоровья""";"Москва. ул. Базовская 15/9,";"САО+СЗАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.87737449999999";"37.5067868";"04.06.2025";"https://durnovcev2000.kaiten.ru/33681714"
"ТО-1545";"ИП Корнеев А.Ю. (Коммерческое помещение)";"Москва г, Академическая Б. ул, дом 63";"САО+СЗАО";"Гранит";"Сергеев Н.Р.";"КВ";"55.839936";"37.546372";"03.06.2025";"https://durnovcev2000.kaiten.ru/33680960"
"151697";"ООО «ВКУСНО»/пекарня ""Буханка""";"Москва г, ул Большая Академическая, д. 85";"САО+СЗАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.8455029";"37.5615619";"03.06.2025";"https://durnovcev2000.kaiten.ru/40833940"
"ТО-№ 962ТБ";"ИП Кучерявый А.А./Магазин ""Цветочный Ряд. Водный Стадион """;"Москва г, ш Ленинградское, д. 58, стр. 26";"САО+СЗАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.842501";"37.484225";"03.06.2025";"https://durnovcev2000.kaiten.ru/37876555"
"133312";"ГКУ чс";"Москва г, Зои и Александра Космодемьянских ул, дом 31 корпус 3";"САО+СЗАО";"Нева-2";"Шагров Д.Д.";"М";"55.82502599999999";"37.52184099999999";"03.06.2025";"https://durnovcev2000.kaiten.ru/33681652"
"93091";"Аптека ""Планета здоровья""";"г.Москва, Ленинградское ш., д. 8/2";"САО+СЗАО";"Гранит";"Пряшников Д.Ю.";"М";"55.81711960000001";"37.5003332";"03.06.2025";"https://durnovcev2000.kaiten.ru/33682000"
"139073";"ООО «ГОРИЗОНТ-М», Магазин «Алкотека»";"Зои и Александра Космодемьянских, д. 35/1";"САО+СЗАО";"Секьюрикоп-техник Краснодар";"Озеров С.";"КВ";"55.8207933";"37.5259086";"03.06.2025";"https://durnovcev2000.kaiten.ru/48018988"
"136251";"Кофейня Surf Coffee";"Москва г, Багратионовский пр-д, дом 5А, корпус 1";"САО+СЗАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.7438993";"37.5084528";"02.06.2025";"https://durnovcev2000.kaiten.ru/33681332"
"136632";"Кладовке ""Складно""";"Москва г, Василисы Кожиной ул, дом № 12";"САО+СЗАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.7355485";"37.4968306";"02.06.2025";"https://durnovcev2000.kaiten.ru/33814785"
"132870";"ВКУСНО ООО/Пекарня Буханка";"Москва г, Береговой пр-д, дом 3";"САО+СЗАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.75726599999999";"37.5104905";"02.06.2025";"https://durnovcev2000.kaiten.ru/33680493"
"132792";"ИП  Невская Ольга Александровна /Пекарня Буханка";"Москва г, Новозаводская ул, дом 2, корпус 1";"САО+СЗАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.747332";"37.514914";"02.06.2025";"https://durnovcev2000.kaiten.ru/33681318"
"136869";"АО фирма «Агрокомплекс» им. Н. И. Ткачева, магазин № 2000";"Москва г, Большая Филевская, дом № 3, к 3";"САО+СЗАО";"Гранит";"Писаренко С.";"КВ";"55.749152";"37.518695";"02.06.2025";"https://durnovcev2000.kaiten.ru/33680985"
"136186";"ИП Львов Евгений Александрович, Кладовка ""СКЛАДНО""";"Москва г, Маршала Неделина ул, дом № 34, корпус 1";"САО+СЗАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.7259069";"37.4120832";"02.06.2025";"https://durnovcev2000.kaiten.ru/33814791"
