п/н";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"137194";"ООО ""Фаэлит""";"Москва Коминтерна, 15,";"СВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.9240422";"37.8137756";"новый";"#40148058"
"138101";"ИП Романов Сергей Андреевич/Кладовка ""СКЛАДНО""";"Москва проезд Кадомцева, д. 15";"СВАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.8277783";"37.6636649";"новый";"#38212683"
"137827";"ООО «ПОТОК» / Гастроном «Белорусские товары/Табак/Пиво/Шаурма/Сахалинский икорный дом»";"Москва г, ул Изумрудная, д. 40";"СВАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.8764226";"37.6907343";"новый";"https://durnovcev2000.kaiten.ru/space/353259/boards/card/37167979"
"138780";"ИП ХОМЕНКО ИВАН ДМИТРИЕВИЧ / Торгово-коммерческое помещение";"Москва, Яблочкова, д. 16";"СВАО";"Эсток-Сервис";"Христенко Е.А.";"КВ";"55.819924";"37.581539";"новый";"https://durnovcev2000.kaiten.ru/46868646"
"139081";"ИП Ляховицкий Роман Сергеевич/Кладовка ""СКЛАДНО""";"Мытищи,ул.Колпакова  42 к.3";"СВАО";"Эсток-Сервис";"Гаук Е.М.";"КВ";"55.9247741";"37.7218474";"новый";"https://durnovcev2000.kaiten.ru/48024200"
"137979";"ИП Амелина Галина Ивановна/Кладовка ""СКЛАДНО""";"Москва, 4-й Стрелецкий пр-д, д. 13";"СВАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.7973225";"37.602052";"новый";"https://durnovcev2000.kaiten.ru/48231908"
"138643";"ИП Румянцев Василий Николаевич / Магазин – Бар «Галерея Пива»";"Москва, ул. Новоалексеевская, дом 16, корп.3";"СВАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.8077812";"37.6476439";"новый";"https://durnovcev2000.kaiten.ru/48264528"
"139032";"ООО ""Планета Здоровья Холдинг"" / Аптека Планета Здоровья";"Красноармейск, ул. Краснофлотская, д.2В";"СВАО";"Эсток-Сервис";"Пряшников Д.Ю.";"КВ";"56.1004043";"38.1210042";"новый";"https://durnovcev2000.kaiten.ru/49513521"
"136019";"ООО «ВОСХОД»/ Пекарня Буханка";"Москва г, ул Складочная, д. 2";"СВАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.801174";"37.5969652";"новый";"https://durnovcev2000.kaiten.ru/41070147"
"139090";"ООО «Мой Ломбард»/Ломбард";"Москва, ул Грекова, д. 3Г";"СВАО";"Технологии Безопасности";"Михно С.С.";"КВ";"55.885901";"37.661107";"новы";"https://durnovcev2000.kaiten.ru/47514848"
"ТО-221ТБ";"ИП Табачникова Галина Владимировна (Магазин цветов FlowFix)";"Москва г, Бутырская ул, дом 84";"СВАО";"Технологии Безопасности";"Кузнецов М.А.";"КВ";"55.80674639999999";"37.5827086";"06.06.2026";"https://durnovcev2000.kaiten.ru/33668920"
"133943";"ООО «Виктория» (Медицинский офис INVITRO)";"Москва г, Бутырская ул, дом 9, корпус 1";"СВАО";"Гранит";"Мозговой И.В.";"КВ";"55.7952203";"37.5832658";"06.06.2026";"https://durnovcev2000.kaiten.ru/33668919"
"22131";"ООО ""Фаэлит""";"Королев, ул. Коминтерна, 15";"СВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.9240422";"37.8137756";"04.06.2026";"https://durnovcev2000.kaiten.ru/40168858"
"133076";"ООО «ВОСХОД/Пекарня Буханка";"Москва г, Красная Сосна ул, дом 3, корпус 1";"СВАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.850144";"37.6831484";"06.06.2025";"https://durnovcev2000.kaiten.ru/33668889"
"133881";"ООО ВКУСНО/ Пекарня Буханка";"г.Москва , ул.Фонвизина 18";"СВАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.8215259";"37.5921513";"06.06.2025";"https://durnovcev2000.kaiten.ru/33668785"
"ТО-2791";"ИП Кречетова Екатерина Николаевна";"Москва г, Милашенкова ул, дом № 5, корпус 1";"СВАО";"Технологии Безопасности";"Калиниченко А.С.";"КВ";"55.8252595";"37.5855314";"06.06.2025";"https://durnovcev2000.kaiten.ru/33668808"
"136103";"ООО ""Крона-Мед""/стоматологическая клиника ""DREAM""";"Москва г, Чичерина ул, дом 8, корпус 2";"СВАО";"Технологии Безопасности";"Чиграй А.С.";"КВ";"55.866439";"37.654526";"05.06.2025";"https://durnovcev2000.kaiten.ru/33668883"
"1432";"ООО «РЕНТ ЦЕНТРАЛЬ»/ Ломбард Благо";"г. Москва, Алтуфьевское ш, дом 86";"СВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.8485542";"37.583099";"05.06.2025";"https://durnovcev2000.kaiten.ru/33668863"
"151452";"ООО «РЕНТ ЦЕНТРАЛЬ»/ Ломбард Благо";"Москва г, Заревый проезд, дом 10";"СВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.886035";"37.658508";"05.06.2025";"https://durnovcev2000.kaiten.ru/33668891"
"133104";"ООО «ЧИСС Групп» (ЛАБОРАТОРИЯ ""ГЕМОТЕСТ"")";"Москва г, Декабристов ул, дом 10, корпус 3";"СВАО";"Гранит";"Христенко Е.А.";"КВ";"55.865173";"37.600068";"05.06.2025";"https://durnovcev2000.kaiten.ru/33668840"
"137258";"ИП Шипот Максим Владимирович (Магазин «ЦентрФуд"")";"Москва г, ул Декабристов, д. 6, к. 1";"СВАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.8665402";"37.5925717";"05.06.2025";"https://durnovcev2000.kaiten.ru/33668912"
"137615";"ООО «ЭДЕМ»/Стоматология «ПрезиДент»";"Москва , ул Заповедная, д. 16, к. 1";"СВАО";"Технологии Безопасности";"Сергеев Н.Р.";"КВ";"55.8670154";"37.6386211";"05.06.2025";"https://durnovcev2000.kaiten.ru/37196995"
"90987- 90369";"Салон красоты, ИП Нечаева М.М.";"г. Королев, ул. Горького, д. 79к13";"СВАО";"Гранит";"Моторин А.В.";"КВ";"55.9196007";"37.883249";"04.06.2025";"https://durnovcev2000.kaiten.ru/33668851"
"92225";"ООО «Ирамед»/Медицинский офис ""Анализы ДНКОМ""";"Московская обл, Королев г, Циолковского ул, дом 25";"СВАО";"Технологии Безопасности";"Мозговой И.В.";"КВ";"55.9206294";"37.8234492";"04.06.2025";"https://durnovcev2000.kaiten.ru/33668850"
"131536";"ООО «Орион» (Магазин «Ассортида»)";"Московская обл, Королев г, Пионерская ул, дом № 8Г";"СВАО";"Гранит";"Калиниченко А.С.";"КВ";"55.9137806";"37.8136766";"04.06.2025";"https://durnovcev2000.kaiten.ru/33668855"
"ТО-№794ТБ";"ИП Шамсутдинов Нематулло Рахматуллаевич/Пекарня";"МО., г.о. Королев г.,ул Пионерская, д. 8г";"СВАО";"Технологии Безопасности";"Калиниченко А.С.";"КВ";"55.9443882";"37.8541992";"04.06.2025";"https://durnovcev2000.kaiten.ru/33668924"
