п/н";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"138954";"ООО «ГОРОДСКИЕ ЛЕГЕНДЫ» (Кофейня «surf coffee x lore»)";"Москва, Краснопрудная, д. 22-24";"ЦАО";"Эсток-Сервис";"Сафин М.С.";"КВ";"55.77878699999999";"37.6652918";"новый";"https://durnovcev2000.kaiten.ru/48785355"
"134859";"ООО «Сдобный Край»/«Пекарня»";"Москва г, Пятницкий пер, дом 8, строение 1";"ЦАО";"Гранит";"Гаук Е.М.";"КВ";"55.742887";"37.62976099999999";"18 05.2025";"https://durnovcev2000.kaiten.ru/33814804"
"132776";"ИП Лапаева Вера Сергеевна, /Пекарня Буханка";"Москва г, Автозаводская ул, дом № 23Б, корпус 2";"ЦАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.7052019";"37.6327695";"05.06.2025";"https://durnovcev2000.kaiten.ru/32562661"
"№ 976ТБ";"ООО «ДжиДжиКо» (Коворкинг";"Москва  ул 1-я Машиностроения, д. 4, к. 3";"ЦАО";"Технологии Безопасности";"Вершинина Е.В.";"М";"55.7134801";"37.6686637";"03.06.2025";"https://durnovcev2000.kaiten.ru/39186099"
"151692";"ООО « ВКУСНО»/ Пекарня Буханка";"Москва г, ш Энтузиастов, д. 1 к.2";"ЦАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.74854000000001";"37.703568";"31.05.2025";"https://durnovcev2000.kaiten.ru/40836723"
"39055";"Аптека ""Планета Здоровья""";"Москва ул. Мещанская д. 14";"ЦАО";"Гранит";"Пряшников Д.Ю.";"М";"55.7769019";"37.6281784";"30.05.2025";"https://durnovcev2000.kaiten.ru/28045185"
"133648";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""УЧЕБНО-МЕТОДИЧЕСКИЙ ЦЕНТР ПО ГРАЖДАНСКОЙ ОБОРОНЕ И ГОРОДА а МОСКВЫ""";"Москва, ул. Бахрушина, 28";"ЦАО";"Нева-2";"Дубовик А.С.";"М";"55.7324033";"37.6370263";"30.05.2025";"https://durnovcev2000.kaiten.ru/33814937"
"136132";"ИП Пташкин Алексей Павлович (Студия пилатеса)";"Москва г, Армянский пер, дом 7, подъезд 4, этаж 1";"ЦАО";"Технологии Безопасности";"Вершинина Е.В.";"КВ";"55.76018879999999";"37.6362257";"29.05.2025";"https://durnovcev2000.kaiten.ru/32562532"
"91108";"Филиал №5 ФГКУ ""ГВКГ"" им. Н.Н. Бурденко Минобороны России";"г.Москва, Яковоапостольский ш. д. 8 А";"ЦАО";"Гранит";"Супонников М.С.";"М";"55.7577353";"37.6548114";"29.05.2025";"https://durnovcev2000.kaiten.ru/32562918"
"ТО-№179ТБ";"ООО ""Мастрой"" / офис консула Черногории";"Москва, Покровский б-р, 16-18 строение 4-4А";"ЦАО";"Эсток-Сервис";"Епуре А.А.";"КВ";"55.753265";"37.6463199";"19.05.2025";"https://durnovcev2000.kaiten.ru/49817848"
