п/н";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"-";"ИП Горбунов Сергей Владимирович (Суши Wok)";"Сосенское  Квартал 28, дом  2 корпус 1";"ЮАО";"Технологии Безопасности";"Калиниченко А.С.";"КВ";"55.950237";"37.297386";"новый";"https://durnovcev2000.kaiten.ru/33160368"
"137578";"ООО ПКФ «Активатор»/(«Активатор»)";"Москва г, ул Маршала Савицкого, д. 26, к. 1";"ЮАО";"Технологии Безопасности";"Рощин С.С.";"КВ";"55.5041571";"37.5942737";"новый";"#34747985"
"138928";"ООО""АЛЬФА” / Гастроном";"Москва, ул. Чертановская, д. 47, корп.";"ЮАО";"Эсток-Сервис";"Христенко Е.А.";"КВ";"55.6052724";"37.5908155";"новый";"https://durnovcev2000.kaiten.ru/48221856"
"139043";"ИП Амирова Эльмира Фатеховна / гастроном";"Москва, ул. Бирюлевская, дом 49, корп.4, стр.2";"ЮАО";"Эсток-Сервис";"Христенко Е.А.";"КВ";"55.5841092";"37.6762954";"новый";"https://durnovcev2000.kaiten.ru/48222078"
"138831";"ИП КОНСТАНТИНОВ КСЕНОФОНТ ПЕТРОВИЧ / Есть хачапури";"Москва, ул. Люблинская, д 61";"ЮАО";"Эсток-Сервис";"-";"КВ";"55.6840978";"37.7386645";"новый";"https://durnovcev2000.kaiten.ru/48231418"
"1140ТБ";"ООО «Безопасность Групп»/(Аптека «Таблеточка»)";"Москва ул Болотниковская, 52";"ЮАО";"Технологии Безопасности";"Гусев П.И.";"КВ";"55.6629211";"37.58264940000001";"новый";"https://durnovcev2000.kaiten.ru/48398743"
"138985";"ООО «АКОБА» (Бар ""Высокий градус"")";"г Чехов, б-р Вишневый, д. 1/3";"ЮАО";"Эсток-Сервис";"Вершинина Е.В.";"КВ";"55.14741600000001";"37.488333";"новый";"https://durnovcev2000.kaiten.ru/49509172"
"138397";"ИП Копейка Анна Александровна, Ветклиника";"Сосенское  Веласкеса бульвар 7  корпус 4";"ЮАО";"Эсток-Сервис";"Калиниченко А.С.";"КВ";"55.593937";"37.45972";"новый";"https://durnovcev2000.kaiten.ru/32510988"
"23463";"ООО «Мамила», Аптека ""ФармЛенд""";"Москва,  Варшавское, д. 152";"ЮАО";"Технологии Безопасности";"Гунин В.В.";"КВ";"55.5895635";"37.5916003";"новый";"https://durnovcev2000.kaiten.ru/50763387"
"138955";"ИП Соболева Ольга Валерьевна/Салон красоты";"Москва, Южнобутовская, д. 17";"ЮАО";"Эсток-Сервис";"Рощин С.С.";"КВ";"55.5429221";"37.5402616";"новый";"https://durnovcev2000.kaiten.ru/50856234"
"139061";"ООО Инвест-Капитал, АЗС Радуга";"Подольск, ул. Орджоникидзе, д. 26";"ЮАО";"Аллигатор";"Дубовик А.С.";"КВ";"55.4126674";"37.5812731";"16.04 2025";"https://durnovcev2000.kaiten.ru/48266431"
"132630";"ООО «Меркурий» (Салон красоты)";"Москва г, Балаклавский пр-кт, дом 20, корпус 4";"ЮАО";"Гранит";"Мозговой И.В.";"КВ";"55.6423271";"37.59634339999999";"03.06..2025";"https://durnovcev2000.kaiten.ru/32511122"
"91075";"Аптека ""Планета Здоровья""";"г.Москва. ул. Мусы Джалиля 28";"ЮАО";"Гранит";"Пряшников Д.Ю.";"М";"55.620254";"37.741821";"29.05.20250";"https://durnovcev2000.kaiten.ru/32511810"
