п/н";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"№844ТБ";"ООО «Рокет Джамп 1», студия по изготовлению тортиков";"г.Москва,пр-д Южнопортовый 2-й,д.5,к.1";"ЮВАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.783822";"37.667713";"Новый";"#34769465"
"137421";"ООО «Тога»/";"Егорьевск, ул. Ленина, д. 20";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.3707021";"39.0584748";"новый";"https://durnovcev2000.kaiten.ru/40188320"
"138778";"ООО «ТЕРРИТОРИЯ» / магазин рыбалки и охоты";"Москва, ул. 5-я Кожуховская, д. 12";"ЮВАО";"Эсток-Сервис";"Супонников М.С.";"КВ";"55.7051528";"37.6685024";"новый";"https://durnovcev2000.kaiten.ru/46876088"
"139063";"ИП Рабаева Елизавета Павловна / Седелис Френч Баккерри Французская пекарня";"Москва,   Волгоградский проспект, д. 32/5, к. 3";"ЮВАО";"Эсток-Сервис";"Михно С.С.";"КВ";"55.720613";"37.6896142";"новый";"https://durnovcev2000.kaiten.ru/48226201"
"137359";"ООО «ВОСХОД»/ Пекарня Буханка";"Московская обл, г Люберцы, ул Солнечная, д. 2";"ЮВАО";"Гранит";"Ткаченко В.Н.";"КВ";"55.6808134";"37.8887253";"новый";"https://durnovcev2000.kaiten.ru/32519884"
"139009";"ООО ""Фанагория-Розничная Сеть"", Магазин «Фанагория» № 166";"Москва, ул Михайлова, д. 30А, к. 6";"ЮВАО";"Гранит";"Милованова Т.";"КВ";"55.7248995";"37.7735458";"новый";"https://durnovcev2000.kaiten.ru/50204724"
"138983";"ООО ""ЛИМ"", Кладовка ""СКЛАДНО""";"Москва, Нижегородская, д. 5";"ЮВАО";"Эсток-Сервис";"Гаук Е.М.";"КВ";"55.7388343";"37.6786645";"новый";"https://durnovcev2000.kaiten.ru/50206145"
"139130";"ИП Снисарь Алексей Викторович (Магазин «Рыба и морепродукты Mr.Fish»)";"Москва, ул Мещанская, д. 2";"ЮВАО";"Эсток-Сервис";"Бурлакова Д.М.";"КВ";"55.77467309999999";"37.6276968";"новый";"https://durnovcev2000.kaiten.ru/50842581"
"139138";"ООО «МИТРИДАТ» / Гастроном";"Москва, Жулебинский бульвар 9";"ЮВАО";"Эсток-Сервис";"Христенко Е.А.";"КВ";"55.69827129999999";"37.8476789";"новый";"https://durnovcev2000.kaiten.ru/51010926"
"Больница";"ГБУЗ МО МОЦОМД (аптека) КХН 1 этаж стационарное отделение 2, детская больница";"Люберцы, Октябрьский проспект 338";"ЮВАО";"Нева-2";"Дубовик А.С.";"М";"55.664401";"37.904297";"19.65.2024";"#32562069"
"91460/43376";"ООО. ЭНЕРГИЯ (ангар)";"Люберцы, Октябрьский пр-т д 259 Б";"ЮВАО";"Гранит";"Ткаченко В.Н.";"КВ";"55.674373";"37.90564";"-";"-"
"137804";"ИП Тагиев П.Г.о";"г.Москва, 7-я улица Текстильщиков, дом 16";"ЮВАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.694672";"37.747639";"06.06.2025";"https://durnovcev2000.kaiten.ru/35908551"
"132726";"ООО «Альтернатива» (Стоматология)";"Москва г, Гурьянова ул, дом № 4, корпус 1";"ЮВАО";"Гранит";"Мозговой И.В.";"КВ";"55.6827741";"37.7186822";"06.06.2025";"https://durnovcev2000.kaiten.ru/32562318"
"138223";"ИП Нефедова Оксана Олеговна";"Москва, ул. Люблинская, 111Б, стр. 2";"ЮВАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.72385999999999";"37.6884059";"06.06.2025";"https://durnovcev2000.kaiten.ru/40679306"
"1459";"ООО «РЕНТ ЦЕНТРАЛЬ»/ Ломбард Лига";"Москва г, Шоссейная ул, дом 4, корпус 1";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.692045";"37.727372";"06.06.2025";"https://durnovcev2000.kaiten.ru/32562432"
"137702";"Левашова Ольга Вячеславовна / Магазин «Шаурма. Табак. Разливное Пиво. Химчистка «Диана»";"Москва г, Юных Ленинцев ул, дом 3";"ЮВАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.6995884";"37.736044";"06.06.2025";"https://durnovcev2000.kaiten.ru/32562345"
"93124";"Планета Здоровья";"Москва, Шоссейная 4к1";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"М";"55.6919947";"37.7272971";"06.06.2025";"https://durnovcev2000.kaiten.ru/32562985"
"137933";"ООО «ГАСТРОМИР» / гастроном";"Москва г, пр-кт Лермонтовский, д. 6";"ЮВАО";"Эсток-Сервис";"Христенко Е.А.";"КВ";"55.7024637";"37.8484683";"06.06.2025";"https://durnovcev2000.kaiten.ru/47211768"
"93072";"Аптека ""Планета Здоровья""";"г. Москва, Волгоградский проспект д.63 пом 57";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"М";"55.70996599999999";"37.7354074";"06.06.2025";"https://durnovcev2000.kaiten.ru/32562943"
"ТО-84";"ООО Л Дизайн";"Москва, ш. Фрейзер, д.17Ас3";"ЮВАО";"Гранит";"Гусев П.И.";"КВ";"55.7349997";"37.7364569";"05.06.2025";"https://durnovcev2000.kaiten.ru/31421660"
"133672";"ООО ""ГРАНТ""/ Аптека Планета Здоровья";"Московская обл, Люберцы г, Октябрьский рп, Западный мкр., Школьная ул , дом 1";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.6808134";"37.8887253";"05.06.2025";"https://durnovcev2000.kaiten.ru/32562554"
"130768";"Гемотест лаборатория ООО Диана мед";"МО,Люберецкий р-н,пос.Октябрьский,ул.Ленина,19";"ЮВАО";"Технологии Безопасности";"Моторин А.В.";"КВ";"55.6098531";"37.9749024";"05.06.2025";"https://durnovcev2000.kaiten.ru/35652051"
"133642";"ГОСУДАРСТВЕННОЕ КАЗЕННОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""УЧЕБНО-МЕТОДИЧЕСКИЙ2 ЦЕНТР ПО ГРАЖДАНСКОЙ ОБОРОНЕ И ЧРЕЗВЫЧАЙНЫМ СИТУАЦИЯМ ГОРОДА МОСКВЫ""";"Москва г, Ферганская ул, дом 12";"ЮВАО";"Нева-2";"Шагров Д.Д.";"М";"55.708141";"37.8087";"05.06.2025";"https://durnovcev2000.kaiten.ru/32562048"
"93062";"Планета здоровья";"Москва, 2 Карачаровская 1 строение 1";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"М";"55.7347022";"37.752647";"05.06.2025";"https://durnovcev2000.kaiten.ru/32562923"
"39136";"ООО ""Ориент Сервис Плюс"" магазин ""Авоська""";"Москва, ул. Рождественская 16, к. 3";"ЮВАО";"Аллигатор";"Певзнер Ю.А.";"КВ";"55.7028913";"37.9205685";"04.06.2025";"https://durnovcev2000.kaiten.ru/32562602"
"132824";"ИП Кашитский Руслан Иванович (Гастроном)";"г. Москва, ул. Авиаконтсруктора Миля, д. 8, корп. 1";"ЮВАО";"Технологии Безопасности";"Христенко Е.А.";"КВ";"55.6845262";"37.8533973";"04.06.2025";"https://durnovcev2000.kaiten.ru/32562257"
"137013";"ООО «Мой Ломбард»/Ломбард";"г.Москва,ул.Маршала Чуйкова,д.4";"ЮВАО";"Технологии Безопасности";"Михно С.С.";"КВ";"55.7043018";"37.7635237";"04.06.2025";"https://durnovcev2000.kaiten.ru/32562024"
"90701";"Аптека ""Планета Здоровья""";"г.Москва, ул.Генерала Кузнецова 26/1";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"М";"55.6840641";"37.8533134";"04.06.2025";"https://durnovcev2000.kaiten.ru/32562885"
"93071";"Аптека ""Планета Здоровья""";"г. Москва, Волгоградский проспект 80/2";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"М";"55.7062821";"37.7643316";"04.06.2025";"https://durnovcev2000.kaiten.ru/32562990"
"131195";"ООО ""Парацельс"", аптека Планета Здоровья";"г. Москва, ул. Волгоградский проспект, д. 119/22";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"М";"55.706453";"37.764458";"04.06.2025";"https://durnovcev2000.kaiten.ru/32563005"
"130607";"аптека Планета Здоровья";"МО, г. Люберцы, ул. Камова д. 12";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"М";"55.7018035";"37.8739433";"04.06.2025";"https://durnovcev2000.kaiten.ru/32563031"
"131285";"ООО ""Восток"" аптека ""Планета Здоровья""";"г. Москва, ул. Лухмановская, д. 24";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"М";"55.722119";"37.9056039";"04.06.2025";"https://durnovcev2000.kaiten.ru/32562968"
"ЭС/Т-1965/04-25";"ИП Новицкая Олеся Павловна, Пункт выдачи заказов ОЗОН";"Москва г, Привольная ул, дом 65/32";"ЮВАО";"Эсток-Сервис";"Михно С.С.";"КВ";"55.681677";"37.8481622";"04.06.2025";"https://durnovcev2000.kaiten.ru/32562268"
"ТО-502";"ИП Высокина Марина Геннадьевна, помещение";"Москва, Лавриненко 1";"ЮВАО";"Гранит";"Калиниченко А.С.";"КВ";"55.70178920000001";"37.9431879";"31.05.2025";"https://durnovcev2000.kaiten.ru/32562622"
"138225";"ООО ""Парацельс""";"Москва г., Вертолетчиков, д. 4 к 6";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.7028393";"37.9468833";"31.05.2025";"https://durnovcev2000.kaiten.ru/40054582"
"133321";"ООО «Восход»/Пекарня Буханка";"Московская обл, Люберцы г, 8 Марта ул, дом 18, корпус 1";"ЮВАО";"Эсток-Сервис";"Ткаченко В.Н.";"КВ";"55.6808134";"37.8887253";"31.05.2025";"https://durnovcev2000.kaiten.ru/32562581"
"133419";"ООО ""НЕОФАРМ ТВЕРЬ"" Аптека Планета Здоровья";"Московская обл, Люберцы г, 8 Марта ул, дом 18 корп. 1";"ЮВАО";"Технологии Безопасности";"Пряшников Д.Ю.";"КВ";"55.6808134";"37.8887253";"31.05.2025";"https://durnovcev2000.kaiten.ru/32562591"
"1153";"ИП Тен Ю.Р. Магазин «SushiStore»";"г. Москва, ул. Рождественская, д. 32";"ЮВАО";"Гранит";"Чиграй А.С.";"М";"55.7013407";"37.9269482";"31.05.2025";"https://durnovcev2000.kaiten.ru/32562858"
"131374";"ООО Аджента Аптека Планета Здоровья";"Москва г, Маршала Ерёменко ул, д.5к3";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"М";"55.7123354";"37.9459499";"31.05.2025";"https://durnovcev2000.kaiten.ru/32563041"
"ТО-200ТБ";"АО «ТД Шатер-Инвест»/магазин";"Московская обл, Люберцы г, Котельническая ул, дом 24А";"ЮВАО";"Технологии Безопасности";"Епуре А.А.";"КВ";"55.6685358";"37.88902179999999";"30.05.2025";"https://durnovcev2000.kaiten.ru/32563097"
"134139";"ООО ""Мамила""/Аптека ""ФармЛенд""";"Московская обл, Котельники г, Парковый мкр., дом 1, корпус 5";"ЮВАО";"Технологии Безопасности";"Гунин В.В.";"КВ";"55.6532044";"37.8613222";"30.05.2025";"https://durnovcev2000.kaiten.ru/32562756"
"ТО№ 489ТБ";"Пигарева Марина Евгеньевна, салон красоты";"Московская обл, Люберцы г, 8 Марта ул, дом 32";"ЮВАО";"Технологии Безопасности";"Епуре А.А.";"КВ";"55.6808134";"37.8887253";"30.05.2025";"https://durnovcev2000.kaiten.ru/32562765"
"133115";"МЦ мечта";"Генерала Кузнецова 16 к2";"ЮВАО";"Гранит";"Чиграй А.С.";"М";"55.688581";"37.856926";"30.05.2025";"https://durnovcev2000.kaiten.ru/32562898"
"91021";"Аптека ""Планета Здоровья""";"МО, Белозерский, ул. Молодежная 12";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"М";"55.460430";"38.445217";"23.05.2025";"https://durnovcev2000.kaiten.ru/32563011"
"131026";"ФРЕНДСДЕНТ ООО (Стоматология ""Family Dent"");";"Москва, Недорубова 10";"ЮВАО";"Технологии Безопасности";"Гаук Е.М.";"КВ";"55.7009807";"37.9335751";"19.05.2025";"https://durnovcev2000.kaiten.ru/32562616"
"135255";"ООО «АПТЕЧНЫЙ СКЛАД «ПОДМОСКОВЬЕ», аптека";"Москва г, Недорубова ул, дом 30";"ЮВАО";"Гранит";"Епуре Ю.В.";"КВ";"55.70748990000001";"37.93416250000001";"19.05.2025";"https://durnovcev2000.kaiten.ru/32562808"
"130900";"ООО ""МАРИЛАВ” (Центр косметологии и стоматологии ""МариЛав"")";"Москва г, Недорубова ул, дом 15";"ЮВАО";"Гранит";"Гаук Е.М.";"КВ";"55.703367";"37.9336895";"19.05.2025";"https://durnovcev2000.kaiten.ru/32562610"
"91994";"Склады Магазина рыбалки и охоты ООО Компания Сплав";"п. Марусино,1 А (склад 1) 1 А/5 (склад 2) 1 А/7 (склад 3)";"ЮВАО";"Гранит";"Супонников М.С.";"М";"55.6967108";"37.9744717";"19.05.2025";"https://durnovcev2000.kaiten.ru/32563023"
"138226";"ООО ""Аджента""";"Москва, Святоозёрская ул., д.26";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.712132";"37.8936147";"18.05.2025";"https://durnovcev2000.kaiten.ru/40020052"
"131044";"ИП Данилов Андрей Николаевич (Пекарня «Хлебница»";"Москва, Волгоградский проспект, д.3/5";"ЮВАО";"Гранит";"Рощин С.С.";"КВ";"55.732104";"37.671954";"17.05.2025";"https://durnovcev2000.kaiten.ru/33814837"
"90971";"Аптека ""Планета Здоровья""";"г.Москва, ул. Покровская 16";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"М";"55.75915380000001";"37.6457661";"13.05.2025";"https://durnovcev2000.kaiten.ru/32563073"
"1327";"ИП Финевич Олеся Валерьевна («Bambini-Club» международная сеть частных детских д. садов)";"Люберцы г, Преображенская ул, дом 6, корпус 2, этаж 1";"ЮВАО";"Гранит";"Сергеев Н.Р.";"КВ";"55.68758";"37.90473";"06.05.2025";"https://durnovcev2000.kaiten.ru/32562454"
"132943";"ИП Черевань Алла Шамильевна";"Московская обл, г. Люберцы, ул. Преображенская, д. 13, пом. 12";"ЮВАО";"Гранит";"Сергеев Н.Р.";"КВ";"55.683331";"37.9103177";"06.05.2025";"https://durnovcev2000.kaiten.ru/32562245"
"90936";"Аптека Планета Здоровья";"Москва, проспект защитников Москвы 10";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"М";"55.7003044";"37.9218379";"06.05.2025";"https://durnovcev2000.kaiten.ru/32563074"
"ТО-978";"ИП Монич Яна Валериевна  (Кафе ""DonerCafe"")";"Люберцы, Комсомольский пр-т 10/1, помещение 017";"ЮВАО";"Гранит";"Пряшников Д.Ю.";"КВ";"55.68861880000001";"37.9045527";"06.05.2025";"https://durnovcev2000.kaiten.ru/32562463"
"91932";"Стоматология";"г.Москва, Покровская 12";"ЮВАО";"Гранит";"Чиграй А.С.";"КВ";"55.7591001";"37.6444543";"06.05.2025";"https://durnovcev2000.kaiten.ru/32562626"
