п/н";"Объект";"Адрес";"Округ";"Компания";"Менеджер";"Период обслуживания";"Latitude";"Longitude";"Дата последнего ТО";"Ссылка"
"138963";"ООО «ПУЛЬТ.ру» / Магазин электроники";"Москва, пр-кт Ленинский, д.13";"ЮЗАО+ЗАО";"Эсток-Сервис";"Михайлов А.Ю.";"КВ";"55.7217212";"37.6016952";"новый";"https://durnovcev2000.kaiten.ru/48896179"
"139291";"ИП Мельников Илья Иванович / Магазин «ГастроДом»";"Москва, Нахимовский пр-т, дом 67";"ЮЗАО+ЗАО";"Эсток-Сервис";"Христенко Е.А.";"КВ";"55.6806862";"37.5571332";"новый";"https://durnovcev2000.kaiten.ru/49512793"
"138063";"ООО «Гард-НН»/компьютерные клубы";"Москва, Профсоюзная, д. 104";"ЮЗАО+ЗАО";"Технологии Безопасности";"Гусев П.И.";"КВ";"55.6607107";"37.5442386";"новый";"https://durnovcev2000.kaiten.ru/50229757"
"90384";"Стоматология ""ТИП-ТОП""";"Москва, ул. Академика Анохина, д.13";"ЮЗАО+ЗАО";"Гранит";"Христенко Е.А.";"КВ";"55.65634";"37.47221800000001";"22.04..2025";"https://durnovcev2000.kaiten.ru/33814912"
"84075";"ресторан КФС";"Дублинская 35";"ЮЗАО+ЗАО";"Аллигатор";"Певзнер Ю.А.";"М";"55.72469";"37.637345";"03.06..2025";"https://durnovcev2000.kaiten.ru/32562882"
"91103";"ООО ""МЦ"" Стоматология ""ТИП-ТОП"",";"Москва, ул. Озерная, д. 4/2";"ЮЗАО+ЗАО";"Гранит";"Христенко Е.А.";"КВ";"55.687639";"37.465466";"29.09.2025";"https://durnovcev2000.kaiten.ru/33814932"
"93108";"Аптека Планета Здоровья";"Москва ул. Профсоюзная д.104/47";"ЮЗАО+ЗАО";"Гранит";"Пряшников Д.Ю.";"М";"55.6418817";"37.5236028";"03.06.2025";"https://durnovcev2000.kaiten.ru/33814940"
"131213";"ИП Щитова Елена Евгеньевна детский сад ""Sun School"")";"Москва, ул. Новочерёмушкинская, д.17";"ЮЗАО+ЗАО";"Гранит";"Чиграй А.С.";"М";"55.6826433";"37.5829157";"03.06.2025";"https://durnovcev2000.kaiten.ru/32562878"
"ТО-2301";"ООО Норд";"Москва, ул. Наметкина 8с1";"ЮЗАО+ЗАО";"Гранит";"Мозговой И.В.";"М";"55.66300949999999";"37.5507207";"03.06.2025";"https://durnovcev2000.kaiten.ru/33814941"
"90709";"Аптека ""Планета Здоровья""";"Москва, пр. Нахимовский, д. 40";"ЮЗАО+ЗАО";"Гранит";"Пряшников Д.Ю.";"М";"55.67735500000001";"37.565941";"03.06.2025";"https://durnovcev2000.kaiten.ru/33814797"
